Question,Answer,Chapter
The king wanted to show the people and who else Vashti's beauty?,"the princes, Esther 1:11",1
"When Vashti refused the king's commandment, what burned in the king?","his anger, Esther 1:12",1
"FIB with one blank: Therefore was the king very ___, and his anger burned in him.","wroth, Esther 1:12",1
"FIB with one blank: Then the king said to the ___ men, which knew the times.","wise, Esther 1:13",1
The king's wise men were described as knowing what?,"the times, Esther 1:13",1
Bonus for 20: Name four of the seven princes of Persia and Media.,"Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, Memucan, Esther 1:14",1
Carshena was one of what group of seven people which sat first in the kingdom?,"the seven princes (of Persia and Media), Esther 1:14",1
Tarshish was one of what group of seven people which sat first in the kingdom?,"the seven princes (of Persia and Media), Esther 1:14",1
Marsina was one of what group of seven people which sat first in the kingdom?,"the seven princes (of Persia and Media), Esther 1:14",1
Memucan was one of what group of seven people which sat first in the kingdom?,"the seven princes (of Persia and Media), Esther 1:14",1
"In the book of Esther, who were the people who sat first in the kingdom?","The 7 wise men, 7 princes of Persia  Esther 1:14",1
"According to the book of Esther, what of king Ahasuerus did queen Vashti not perform?","The commandment, Esther 1:15",1
"Who answered when Ahasuerus asked, what shall we do unto queen Vashti?","Memucan, Esther 1:15-16",1
Bonus for 15: Memucan said that Vashti did wrong not only to the king but to who?,"all the princes, and all the people that are in all the provinces of the king, Esther 1:16",1
"Memucan said that for this deed of the queen, women would feel what way towards their husbands?","despise them, Esther 1:17",1
"Bonus for 15: FIB: For this deed of the queen shall come abroad unto all ___, so that they shall ___ their ___ in their eyes.","women, despise, husbands, Esther 1:17",1
What two emotions did Memucan say the ladies of Persia and Media would express towards the princes as a result of queen Vashti's act?,"(too much) contempt and wrath, Esther 1:18",1
It was recommended to the king that Vashti should not longer come before him. Who should her royal estate be given to?,"another that is better than she, Esther 1:19",1
"Bonus for 10,  A royal commandment was to be written regarding queen Vashti. What 2 things would it state?","she come no more before king Ahasuerus, and her royal estate be given to another that is better than she. Esther 1:19",1
"What, both great and small, would all the wives give to their husbands after the king's decree?","honour, Esther 1:20",1
"FIB with one blank: And the sayings pleased the king and the princes, and the king did according to the word of ___.","Memucan, Esther 1:21",1
The king's decree was to be published according to what of every people?,"the language, Esther 1:22",1
King Ahasuerus sent letters to every province that every man should do what?,Bear rule in his own house. Esther 1:22,1
"In Esther 2, When the wrath of king Ahasuerus was appeased, who did he remember?","Vashti, Esther 2:1",2
"Bonus for 10: Who said the following and who was it spoken to: ""Let there be fair young virgins sought for the king.""","the king's servants (that ministered unto him) to the king (Ahasuerus), Esther 2:2",2
"When the young virgins were brought into Shushan, into whose custody were they to be placed? ","Hege/Hegai, Esther 2:3 & 2:8",2
"When the young virgins were brought into Shushan into the custody of Hege, what was given to them?",Things for purification. Esther 2:3,2
FIB with one blank: And let the maiden which pleaseth the king be queen instead of ___.,"Vashti, Esther 2:4",2
How did the king feel when it was suggested to him to choose a maiden to be queen instead of Vashti?,"pleased, Esther 2:4",2
"Young virgins were put in the custody of Hege or Hegai, keeper of the women. What else was he known as?","The king's chamberlain, Esther 2:3",2
"FIB with one blank: Now in Shushan the palace there was a certain Jew, whose name was ___, the son of Jair, the son of Shimei, the son of Kish, a Benjamite.","Mordecai, Esther 2:5",2
Who was Mordecai's father?,"Jair, Esther 2:5",2
Who was Mordecai's grandfather?,"Shimei, Esther 2:5",2
Who was Mordecai's great grandfather?,"Kish, Esther 2:5",2
What was Kish's relationship to Mordecau?,He was his great grandfather. Esther 2:5,2
"In the book of Esther, how was Shimei related to Jair? ",He was his father Esther 2:5,2
What was Shimei related to Mordecai?,He was his grandfather Esther 2:5,2
Of what tribe was Mordecai?,"Benjamin, Esther 2:5",2
Mordecai was first described as a certain what?,"Jew, Esther 2:5",2
Mordecai was carried away with the captivity that carried who away?,"Jeconiah king of Judah, Esther 2:6",2
Who carried away Jeconiah king of Judah?,"Nebuchadnezzar, Esther 2:6",2
Nebuchadnezzar was king of what place?,"Babylon, Esther 2:6",2
Where was Mordecai when he  was taken away into captivity?,"Jerusalem, Esther 2:6",2
What was Hadassah also called?,"Esther, Esther 2:7",2
Who took Esther for his own daughter?,"Mordecai, Esther 2:7",2
"When the king's decree was heard, many maidens were gathered unto what place?","Shushan the palace, Esther 2:8",2
To whose custody was Esther brought when she came to Shushan the palace?,"Hegai (keeper of the women), Esther 2:8",2
How was Hegai described in Esther 2:8?,"keeper of the women, Esther 2:8",2
Esther obtained Hegai's kindness and he speedily gave her what?,"things for purification, Esther 2:9",2
In addition to things for purification what did Hegai give to Esther? ,Seven maidens  Esther 2:9,2
Bonus for 10: FIB: Esther had not shewed her ___ nor her ___. For Mordecai had charged her that she should not she it.,"people, kindred, Esther 2:10",2
What did Mordecai do every day when Esther was in the custody of Hegai?,"walked before the court of the women's house, Esther 2:11",2
After how many months would pass before each maid went in to see king Ahasuerus?,"twelve, Esther 2:12",2
"According to the book of Esther, each maid would purify for 6 months with oil of myrrh, and six months with what?",Sweet odors and with other things. Esther 2:12,2
"According to the book of Esther, each maid would purify for 6 months with sweet odors and with other things, and six months with what?",Myrrh. Esther 2:12,2
"According to the book of Esther, each maid would do this for 12 months before going in to see the king?",purify themselves. Esther 2:12,2
"FIB 1 blank, Whatsoever she ____ was given her to go with her out of the house of the women into the king's house.",desired   Esther 2:13,2
"On the morrow, after she went unto the king's house, into whose custody would a woman be put?","Shaashgaz, Esther 2:14",2
"FIB with one blank: In the evening she went, and on the morrow she returned into the ___ house of the women, to the custody of Shaashgaz.","second, Esther 2:14",2
In what number month was Esther taken unto the king?,"tenth, Esther 2:16",2
"According to Esther 2, what was the name of the tenth month?","Tebeth, Esther 2:16",2
In what year of his reign was Esther taken unto king Ahasuerus?,"seventh, Esther 2:16",2
In what year of king Ahasuerus' reign was Esther's feast?,"seventh, Esther 2:16-18",2
"FIB with one blank: And the king loved ___ above all the women, and she obtained grace and favour in his sight more than all the virgins.","Esther, Esther 2:17",2
Esther obtained favour and what else in the king's sight more than all the virgins?,"grace, Esther 2:17",2
"In Esther 2, for whom did the king make a great feast unto all his princes and servants?","Esther, Esther 2:18",2
Who sat in the king's gate when all the virgins were gathered together the second time?,"Mordecai, Esther 2:19",2
"FIB with one blank: For Esther did the commandment of ___, like as when she was brought up with him.","Mordecai, Esther 2:20",2
What did the book of Esther say that Bigtha and Teresh seek to do?,Lay hand on king Ahasuerus. Esther 2:21,2
How did the book of Esther describe the emotion of Bigthan and Teresh?,"wroth, Esther 2:21",2
"Bigthan and Teresh were the king's chamberlains, what were they reponsible for?",Keeping the door. Esther 2:21,2
Bigthan and who else sought to lay hands on the king?,"Teresh, Esther 2:21",2
Teresh and who else sought to lay hands on the king?,"Bigthan, Esther 2:21",2
What were the roles of Bigthan and Teresh to the king?,"chamberlains, Esther 2:21",2
Who told Esther of the plans of Bigthan and Teresh?,Mordecai. Esther 2:22,2
"Bonus for 20: FIB: And the thing was known to ___, who told it unto ___ the queen, and ___ certified the king thereof in ___ name.","Mordecai, Esther, Esther, Mordecai's, Esther 2:22",2
In whose name did Esther certify to the king that his chamberlains sought to lay hands on him?,"Mordecai, Esther 2:22",2
What was the punishment when Teresh and Bigthan were found out?,"they were both hanged on a tree, Esther 2:23",2
Where was the matter written after Teresh and Bightan were hung on a tree?,"the book of the chronicles, Esther 2:23",2
"When king Ahasuerus was told of the plans of Bigthan and Teresh, what was made of the matter?",Inquisition. Esther 2:23,2
Who was the father of Haman?,"Hammedatha (the Agagite), Esther 3:1",3
"In the book of Esther, who was Hammedatha (the Agagite) the father of?","Haman, Esther 3:1",3
"Bonus for 15 points, in Esther chapter 3:1 what 3 things did King Ahasuerus do for or to Haman?","promoted, advanced him, set his seat above all the princes in hte kingdom. Esther 3:1",3
"Ahasuerus promoted Haman, setting him above all of who, that were with him?","the princes, Esther 3:1",3
"Along with reverencing him, what did all of the king's servants do to Haman?","bowed to him, Esther 3:2",3
"In addition to bowing to Haman, what else did it say that the king's servants did to him?","reverenced him, Esther 3:2",3
"FIB with one blank: ___ bowed not, nor did him reverence.","Mordecai, Esther 3:2",3
"FIB with one blank: Mordecai bowed not, nor did him ___.","reverence, Esther 3:2",3
"Who did the king's servants say the following to: ""Why transgressest thou the king's command?""","Mordecai, Esther 3:3",3
"When Mordecai hearkened not unto them, what did the king's servants tell Haman about him?","he was a Jew, Esther 3:4",3
"Be specific, in Esther chapter 3 why did it say that the king's servants told Haman about Mordecai?",To see whether Mordecai's matters would stand. Esther 3:4,3
"Who was full of wrath when he saw that Mordecai bowed not, nor did him reverence?","Haman, Esther 3:5",3
What was Haman full of when Mordecai bowed not?,"wrath, Esther 3:5",3
Who did Haman seek to destroy after he thought to scorn Mordecai alone?,"All the Jews, Esther 3:6",3
"Bonus for 20: FIB: Wherefore Haman sought to ___ all the ___ that were throughout the whole ___ of ___, even the people of Mordecai.","destroy, Jews, kingdom, Ahasuerus, Esther 3:6",3
"In Esther, what is the first month called?","Nisan, Esther 3:7",3
"In Esther 3, what year of Ahasuerus is mentioned?","the twelfth, Esther 3:7",3
"They cast what, which is the lot, before Haman from day to day?","Pur, Esther 3:7",3
What number month is the month of Adar?,"twelfth, Esther 3:7",3
In what year of king Ahasuerus' reign did Haman devise his plot to kill the Jews?,"twelfth, Esther 3:7-9",3
"According to Esther, what is the twelfth month?","Adar, Esther 3:7",3
Haman described a certain people scattered abroad that keep not what?,"the king's laws, Esther 3:8",3
What did Haman tell king Ahasuerus about the laws of the Jews?,They were diverse (different) from all people. Esther 3:8,3
FIB with one blank spoken by Haman: Therefore it is not for the king's profit to ___ them.,"suffer, Esther 3:8",3
How many talents of silver did Haman say he would bring into the king's treasuries?,"ten thousand, Esther 3:9",3
Haman offered ten thousand talents of silver if the king let what be written?,"that they (the Jews) may be destroyed, Esther 3:9",3
"Be specific, Haman said he would pay ten thousand talents of silver to the hands of those that have charge of what?",the business. Esther 3:9,3
"Bonus for 20: And the king took his ring from his hand, and gave it unto ___ the son of ___ the ___, the Jew's ___.","Haman, Hammedatha, Agagite, enemy, Esther 3:10",3
Who was described as the Jews' enemy?,"Haman, Esther 3:10",3
All that Haman had commanded was written in the king's name and sealed with what?,"the king's ring, Esther 3:12",3
"On what day of the first month were letters sent to destroy, kill, and cause to perish all Jews.","thirteenth, Esther 3:12-13",3
On what day of what month was Haman's request granted to publish the law to destroy the Jews?,"Thirteenth day of the first month (Nisan),  Esther 3:12",3
Bonus for 20: What four groups of Jews were specifically mentioned in Haman's command to destroy and kill all Jews?,"young, old, little children, women, Esther 3:13",3
"Bonus for 15: What three things were to happen to young and old, little children and women","destroy, kill, cause to perish. Esther 3:13",3
"As told in the book of Esther, when did the decree say that the Jews should be killed?","On the thirteenth day of the twelveth month, the month Adar.  Esther 3:13",3
"The posts went out being hastened by what, as the decree was given in Shushan?","the king's commandment, Esther 3:15",3
The king and Haman sat down to drink. What was perplexed?,"the city Shushan, Esther 3:15",3
"Bonus for 15: The king and Haman sat down to ___, but the city ___ was ___.","drink, Shushan, perplexed, Esther 3:15",3
Who rent his clothes and put on sackcloth with ashes?,"Mordecai, Esther 4:1",4
What did Mordecai do to his clothes when he perceived all that was done?,"rent them, Esther 4:1",4
"In addition to loud, how was Mordecai's cry described in Esther 4:1?","bitter, Esther 4:1",4
Mordecai rent his clothes and put on what?,"sackcloth with ashes, Esther 4:1",4
Where did Mordecai go to cry loudly and bitterly?,In the midst of the city. Esther 4:1,4
None might enter into the king's gate clothed with what?,"sackcloth, Esther 4:2",4
"Esther 4 states that none may enter into this, while wearing sackcloth. What does this refer to?","the king's gate, Esther 4:2",4
"Bonus for 20: In every province whithersoever the king's commandment and decree came, what four things were there among the Jews?","great mourning, fasting, weeping, wailing, Esther 4:3",4
"Many among the Jews lay in what, in every province where the king's decree came?","sackcloth and ashes, Esther 4:3",4
"In addition to her maids, who told Esther about the king's decree?","her chamberlains, Esther 4:4",4
"In addition to her chamberlains, who told Esther about the king's decree?","her maids, Esther 4:4",4
"Be specific, how did Esther feel when her maids and chamberlains told her about the king's decree?","exceedingly grieved, Esther 4:4",4
"In Esther chapter 4, Esther sent raiment for what purpose?","to clothe Mordecai, Esther 4:4",4
"After Mordecai refused the clothes Esther offered, who did she call for, described as one of the king's chamberlains?","Hatach, Esther 4:5",4
Where did Hatach find Mordecai?,On the street of the city before the king's gate. Esther 4:6,4
Who did Mordecai tell about the sum of money Haman promised to pay the king's treasuries?,"Hatach, Esther 4:6-7",4
What did Mordecai give to Hatach to shew Esther?,"the copy of the writing of the king's decree, Esther 4:8",4
"Bonus for 10, what 2 things did Mordecai charge Esther to go in to the king to do?","make supplication, make request (before him). Esther 4:8",4
Bonus for 10: And Hatach came and told ___ the words of ___.,"Esther, Mordecai, Esther 4:9",4
How many days did Esther say it had been since she had been called to the king?,"thirty, Esther 4:11",4
"Be specific, Esther said that if anyone came into this place who was not called, there was one law of his to put him to death, where was this place?",The inner court. Esther 4:11,4
What did Esther say the king could hold out to prevent the death of someone entering into the inner court?,"the golden sceptre, Esther 4:11",4
"Who spoke these words: ""Think not with thyself that thou shalt escape in the king's houses, more than all the Jews.""","Mordecai, Esther 4:13",4
Mordecai said Esther's house and her father's house shall be destroyed if she holdest what?,"her peace, Esther 4:14",4
"Bonus for 10 points, Mordecai warned Esther that if she held her peace, what two things would come to the Jews from another place?","enlargenment, deliverance  Esther 4:14",4
Esther told Mordecai to tell all the Jews in Shushan to do what for three days?,"fast, Esther 4:16",4
"FIB with the same word: and so will I go in unto the king, which is not according to the law, and if I ___, I ___.","perish, Esther 4:16",4
"Complete the verse, and so will I go in unto the king, which is not according to the law and ...","if I perish, I perish. Esther 4:16",4
"What did Esther put on, on the third day as she stood in the inner court of the king's house?","her royal apparel, Esther 5:1",5
"FIB with the same word: And the king sat upon his ___ throne in the ___ house, over against the gate of the house.","royal, Esther 5:1",5
What did Esther obtain in the sight of the king when he saw her standing in the court?,"favour, Esther 5:2",5
What did the king hold out to Esther when she stood in the court?,"the golden sceptre, Esther 5:2",5
"FIB with one blank: So Esther drew near, and touched the top of the ___.","sceptre, Esther 5:2",5
What part of King Ahasuerus' sceptre did Esther touch?,the top. Exther 5:2,5
The king told Esther her request shall be given even to what?,"half the kingdom, Esther 5:3",5
"In addition to the king, who did Esther say should come unto the banquet she prepared?","Haman, Esther 5:4",5
"Bonus for 15: If it seem ___ to the king, let the king and ___ come this day unto the ___ I have prepared for him.","good, Haman, banquet, Esther 5:4",5
The king said to cause this person to make haste that he may do as Esther hath said. Who is this person?,"Haman, Esther 5:5",5
FIB with one blank: So the king and Haman came to the ___ that Esther had prepared.,"banquet, Esther 5:5",5
"During the first banquet, Esther said her petition was for the king and Haman to do what?","come to the banquet she shall prepare them to morrow, Esther 5:8",5
"After Esther's banquet, Haman went forth joyful and with what?","a glad heart, Esther 5:9",5
Who did Haman see when he was joyful and with a glad heart?,"Mordecai, Esther 5:9",5
What was Haman full of for Mordecai?,"indignation, Esther 5:9",5
"In Esther chapter 5, because Mordecai did not stand up or move for him Haman was full of indignation. The next verse says nevertheless Haman did this to himself. What was that?",Refrained himself. Esther 5:10,5
In Esther chapter 5 Haman called for his friends and who else?,"Zeresh his wife, Esther 5:10",5
"Haman told his friends how the king advanced him above who, in addition to the servants of the king?","the princes, Esther 5:11",5
"Haman told his friends about the of the glory of his riches, how did he describe his children?",Multitude. Esther 5:11,5
"Haman said that all that the king had done for him availed him what, so long as he saw Mordecai sitting at the king's gate?","nothing, Esther 5:13",5
"Be specific, who gave Haman the advise to hang Mordecai on the gallows?",Zeresh his wife and all his friends. Esther 5:14,5
How high did Zeresh and Hamans friends say the gallows should be?,"fifty cubits, Esther 5:14",5
"Zeresh and Haman's friends advised him to make a gallow for Mordecai, how did they then describe how Haman could go in with the king to the banquet?",Merrily. Esther 5:14,5
Who did Zeresh and Haman's friends say should be hung on the gallows?,"Mordecai, Esther 5:14",5
"FIB with one blank: And the thing pleased Haman, and he caused the ___ to be made.","gallows, Esther 5:14",5
"In Esther 6:1, who could not sleep?","the king, Esther 6:1",6
"When king Ahasuerus was unable to sleep, they brought him the book of records of what?",The chronicles. Esther 6:1,6
What did the king command to be read to him when he could not sleep?,"the book of records of the chronicles, Esther 6:1",6
"According to Esther chapter 6, it was found that who told (the king) of Bigthan and Teresh?","Mordecai, Esther 6:2",6
"When the book of records of the chronicles was read to the king, the names of what two men were found written in it?",Bigthana and Teresh  Esther 6:2,6
FIB with one blank: What ___ and dignity hath been done to Mordecai for this?,"honour, Esther 6:3",6
"Who said the following: ""What honour and dignity hath been done to Mordecai for this?""","the king, Esther 6:3",6
"Who responded to king Ahasuerus when he asked, ""What honor and dignity hath been done to Mordecai for this?"" ",The king's servants. Esther 6:3,6
What did the king's servants say when the king asked what honour and dignity had been done to Mordecai?,"there is nothing done for him, Esther 6:3",6
"Who was come into the outward court when the king asked ""Who is in the court""?","Haman, Esther 6:4",6
"Bonus for 20: Now Haman was come into the outward court of the king's house, to speak unto the king to ___ ___ on the ___ that he had ___ for him.","hang, Mordecai, gallows, prepared, Esther 6:4",6
"Who was the following spoken to: ""What shall be done unto the man whom the king delighteth to honour?""","Haman, Esther 6:6",6
"In his heart, who did Haman think the king delighted to honour?","Haman, Esther 6:6",6
"Be specific, what did Haman think in his heart when king Ahasuerus asked ""What shall be done unto the man whom the king delighteth to honor?""",To whom would the king delight to do honor more than to myself? Esther 6:6,6
What did Haman say should be set upon the head of the man whom the king wanted to honour?,"the crown royal, Esther 6:8",6
What belonging to king Ahasuerus which he no longer used did Haman ask to be put on the man whom the king delighteth to honor?,The royal apparel. Esther 6:8,6
"Bonus for 10 points, name any 2 of the 3 things Haman asked to be given to the man whom the king delighteth to honor?","royal apparel (the king used to wear), the horse (of the king), crown royal. Esther 6:8",6
Who did Haman say should take the man whom the king delighteth to honor through the streets of the city?,One of the king's most noble princes. Esther 6:9,6
"FIB 1 blank, And let this apparel and horse be delivered to the hand of one of the king's most noble princes, that they may ____ the man withal whom the king delighteth to honour",array. Esther 6:9,6
"Bonus for 20: FIB: Make haste, and take the ___ and the ___, as thou hast said, and do even so to ___ the ___, that sitteth at the king's gate.","apparel, horse, Mordecai, Jew, Esther 6:10",6
"FIB 1 blank, Then the king said to Haman, Make _____, and take the apparel and the horse, as thou hast said, and do even so to Mordecai the Jew, that sitteth at the king's gate.",haste. Esther 6:10,6
"After instructing Haman to ""Do even so to Mordecai the Jew that sitteth at the king's gate."" What additional instructions did the king give to Haman?",Let nothing fail of all that thou hast spoken. Esther 6:10,6
"How did Haman bring Mordecai through the city, as he proclaimed that this is how the king treats the man he wants to honour?","on horseback, Esther 6:11",6
"After taking Mordecai through the streets of the city, how did the Bible describe how Haman returned to his house?",hasted. Esther 6:12,6
"After taking Mordecai through the streets of the city, what emotion described how Haman was as he hasted to his house?",mourning. Esther 6:12,6
"After taking Mordecai through the streets of the city, in addition to mourning, how did the Bible describe his appearance as he  returned to his house?",having his head covered. Esther 6:12,6
Who was described as the seed of the Jews?,"Mordecai, Esther 6:13",6
"Bonus, FIB 3 blanks, If Mordecai be of the seed of the Jews, before whom thou hast begun to ____, thou shalt not _____ against him, but shalt surely ____ before him.","fall, prevail, fall.  Esther 6:13",6
While Haman and Zeresh were talking who came to take him to Esther's banquet?,the king's chamberlains. Esther 6:14,6
"While Haman, his wife, and his wise men were talking, the king's chamberlains came for what purpose?","to bring Haman to Esther's banquet, Esther 6:14",6
"Bonus for 15: FIB: What is thy ___, queen Esther? and it shall be ___ thee, what is thy ___?","petition, granted, request, Esther 7:2",7
"At her banquet, what did Esther ask the king to be given to her at her petition?",Her life. Esther 7:3,7
"FIB with one blank: Let my life be given me at my petition, and my ___ at my request.","people, Esther 7:3",7
What did Esther tell king Ahasuerus she would have done if they were sold as bondmen and bondwomen?,held her tongue.  Esther 7:4,7
"Bonus for 15 points, Esther told king Ahasuerus that she and her people were sold to be these 3 things, for 5 points each list the things she said.","destroyed, slain, perish.  Esther 7:4",7
"In speaking to the king, Esther said that she had held her tongue though the enemy could not _____ the king's damage. What is the missing word?","Countervail. Esther 7:4 (Esther is saying she would have kept quiet, because no such distress would justify disturbing the king)",7
"FIB with the same word, For we are ____, I and my people, to be destroyed, to be slain, and to perish. But if we had been ____ for bondmen and bondwomen, I had held my tongue.","sold, sold Esther 7:4",7
"Esther said that her people were sold to be destroyed and slain, and to do what?","perish, Esther 7:4",7
"FIB with 1 blank, Who is he, and where is he, that ____ presume in his heart to do so?",durst.  Esther 7:5,7
FIB with one blank: The adversary and enemy is this wicked ___.,"Haman, Esther 7:6",7
FIB with one blank: The adversary and enemy is this ___ Haman.,"wicked, Esther 7:6",7
"In accusing Haman, Esther called Haman the enemy and wicked, what other word did she use to describe him?",adversary.  Esther 7:6,7
How did Haman feel before the king and the queen after Esther called him wicked?,"afraid, Esther 7:6",7
On what day of Esther's banquets did she call Haman wicked?,"the second day, Esther 7:6",7
The king arising from the banquet in wrath went to the palace garden. What did Haman stand up to do?,"make request for his life to Esther, Esther 7:7",7
"Be specific, king Ahasuerus rose from the banquet of wine in his wrath, where did he go next?",into the palace garden. Esther 7:7,7
After king Ahasuerus went into the palace garden what did Haman do?,Stood up (to make request for his life). Esther 7:7,7
Haman requested for his life to Esther because he saw that there was what determined against him by the king?,"evil, Esther 7:7",7
"When the king returned out of the palace garden, what was Haman's position?","fallen upon the bed whereon Esther was, Esther 7:8",7
"FIB 1 blank, Then said the king, will he ____ the queen also before me in the house?",force.  Esther 7:8,7
"FIB 1 blank, Then said the king, will he force the queen also before me in the ____?",house.  Esther 7:8,7
"What happened before the words went out of king Ahasuerus' mouth when he asked ""Will he force the queen also before me in the house?""",they covered Haman's face. Esther 7:8,7
"Who said the following: ""Behold also, the gallows fifty cubits high, which Haman had made for Mordecai.""","Harbonah, Esther 7:9",7
What was Harbona's job?,"one of the king's chamberlains, Esther 7:9",7
Where did Harbona was the location of the gallows that Haman had made for Mordecai?,in the house of Haman. Esther 7:9,7
"In talking to the king, how did Harbonah describe how Mordecai spoke for the king?",good. Esther 7:9,7
What happened to the king's wrath after Haman was hanged on the gallows?,"it was pacified, Esther 7:10",7
Bonus for 20: FIB: So they hanged ___ on the ___ that he had ___ for ___.,"Haman, gallows, prepared, Mordecai, Esther 7:10",7
Who did the king give the house of Haman to?,"Esther (the queen), Esther 8:1",8
"After Haman was hanged, what did Esther reveal to the king about Mordecai?",what he was to her. Esther 8:1,8
"FIB with one blank: And the king took off his ___, which he had taken from Haman, and gave it unto Mordecai.","ring, Esther 8:2",8
From whom did the king take his ring before giving it to Mordecai?,"Haman, Esther 8:2",8
Who set Mordecai over the house of Haman?,"Esther, Esther 8:2",8
Esther fell down at the king's feet and besought him with what?,"tears, Esther 8:3",8
"Bonus for 10, Esther besought the king with tears to put away what 2 things of Haman the Agagite?","the mischief, his device. Esther 8:3",8
"Esther besought the king with tears to put away the mischief of Haman, what did the king hold out to Esther?",The golden sceptre. Esther 8:4,8
"Esther asked the king to reverse what, which was devised by Haman?","the letters, Esther 8:5",8
What did Esther beseech the king to do to the letters devised by Haman?,reverse them. Esther 8:5,8
"Esther asked the king, how she could endure to see what, that shall come unto her people?","the evil, Esther 8:6",8
FIB as spoken by Esther: Or how can I ___ to see the destruction of my kindred.,"endure, Esther 8:6",8
"That which is written in the king's name and sealed with what, may no man reverse?","the king's ring, Esther 8:8",8
What did the king say no man could do to the writing which is written in his name and sealed with his ring?,"reverse it, Esther 8:8",8
On what day of what month were the king's scribes called to write as Mordecai commanded the Jews?,twenty third day of Sivan (third month). Esther 8:9,8
"Who was called in the third month, the month Sivan, on the three and twentieth day?","the king's scribes, Esther 8:9",8
What is the third month according to the book of Esther?,"Sivan, Esther 8:9",8
"On the twentieth day of Sivan, it was written according to all that who commanded?","Mordecai, Esther 8:9",8
It was commanded unto the rulers of the provinces from India unto what place?,"Ethiopia, Esther 8:9",8
"Bonus for 15, in addition to the Jews, which 3 groups did Mordecai's commandment instruct?","lieutenants, deputies, and rulers of the provinces. Esther 8:9",8
"Riders on horseback, mules, camels and what else, took the letters that Mordecai sealed?","young dromedaries, Esther 8:10",8
Bonus for 15: Mordecai's written in the king's name was sent on horseback with riders on what three animals?,"mules, camels, and young dromedaries, Esther 8:10",8
"FIB with one blank: Wherein the king granted the Jews which were in every city to ___ themselves together, and to stand for their life,","gather, Esther 8:11",8
"Bonus for 20, the king granted the Jews that were in every city to do these 5 things to all the power of the people and province that would assault them, list any 4.","gather themselves together, stand for their life, destroy, slay, cause to perish. Esther 8:11",8
"Bonus for 10, In Esther chapter 8 the king granted the Jews permission to destroy, slay, and cause to perish anyone who would assault them, what two groups did it specifically mention?","little ones, women. Esther 8:11",8
A copy of Mordecai's commandment would be published on what day of Adar?,"the thirteenth day, Esther 8:12-13",8
A copy of Mordecai's commandment would be published on the thirteenth day of what month?,"Adar, Esther 8:12-13",8
On what day of what month were the Jews permitted to defend themselves?,13th day of the 12th month (Adar). Esther 8:12,8
FIB with one blank from Esther 8: that the Jews should be ready against that day to ___ themselves on their enemies.,"avenge, Esther 8:13",8
